id,codeFlows,avg_code_flow_length, edges, nodes, sources, sinks
331,1,18.0
332,1,19.0
333,1,13.0
334,1,14.0
335,1,12.0
336,1,13.0
337,1,6.0
338,1,7.0
339,1,12.0
340,1,13.0
341,1,19.0
342,1,2.0
343,1,2.0
344,1,2.0
345,4,15.0
346,4,15.0
347,1,12.0
348,1,2.0
349,1,2.0
350,1,2.0
351,4,53.75
352,4,58.5
353,4,55.75
354,4,60.5
355,4,53.75
356,4,58.5
357,4,55.75
358,4,60.5
359,4,53.75
360,4,58.5
361,4,55.75
362,4,60.5
363,4,53.75
364,4,58.5
365,4,55.75
366,4,60.5
367,4,53.75
368,4,58.5
369,4,55.75
370,4,60.5
371,4,33.5
372,4,33.5
373,4,59.75
374,4,64.5
375,4,33.5
376,4,33.5
377,4,59.75
378,4,64.5
379,4,33.5
380,4,33.5
381,4,59.75
382,4,64.5
Total,3.1488250652741514,35.53416013925152
