"sink","source","sink","col3","source","col5"
"msg","msg : Http2StreamFrame","msg","Call to org.apache.log4j.Category.log with untrusted data from $@.","msg : Http2StreamFrame","msg : Http2StreamFrame"
"msg","msg : Object","msg","Call to org.apache.log4j.Category.log with untrusted data from $@.","msg : Object","msg : Object"
"msg","msg : Object","msg","Call to org.apache.log4j.Category.log with untrusted data from $@.","msg : Object","msg : Object"
"msg","msg : Object","msg","Call to org.apache.log4j.Category.log with untrusted data from $@.","msg : Object","msg : Object"
"msg","msg : HttpRequest","msg","Call to org.apache.log4j.Category.log with untrusted data from $@.","msg : HttpRequest","msg : HttpRequest"
"msg","msg : String","msg","Call to org.apache.log4j.Category.log with untrusted data from $@.","msg : String","msg : String"
"msg","msg : HttpRequest","msg","Call to org.apache.log4j.Category.log with untrusted data from $@.","msg : HttpRequest","msg : HttpRequest"
"msg","msg : String","msg","Call to org.apache.log4j.Category.log with untrusted data from $@.","msg : String","msg : String"
"msg","msg : Object","msg","Call to org.apache.log4j.Category.log with untrusted data from $@.","msg : Object","msg : Object"
"msg","msg : Object","msg","Call to org.apache.log4j.Category.log with untrusted data from $@.","msg : Object","msg : Object"
"msg","request : FullHttpRequest","msg","Call to org.apache.log4j.Category.log with untrusted data from $@.","request : FullHttpRequest","request : FullHttpRequest"
"msg","msg : Http2StreamFrame","msg","Call to org.apache.log4j.Category.log with untrusted data from $@.","msg : Http2StreamFrame","msg : Http2StreamFrame"
"msg","msg : Object","msg","Call to org.apache.log4j.Category.log with untrusted data from $@.","msg : Object","msg : Object"
"msg","msg : HttpRequest","msg","Call to org.apache.logging.log4j.Logger.info with untrusted data from $@.","msg : HttpRequest","msg : HttpRequest"
"msg","msg : String","msg","Call to org.apache.logging.log4j.Logger.info with untrusted data from $@.","msg : String","msg : String"
"msg","msg : HttpRequest","msg","Call to org.apache.logging.log4j.Logger.info with untrusted data from $@.","msg : HttpRequest","msg : HttpRequest"
"msg","msg : String","msg","Call to org.apache.logging.log4j.Logger.info with untrusted data from $@.","msg : String","msg : String"
"msg","msg : HttpRequest","msg","Call to org.apache.logging.log4j.Logger.warn with untrusted data from $@.","msg : HttpRequest","msg : HttpRequest"
"msg","msg : String","msg","Call to org.apache.logging.log4j.Logger.warn with untrusted data from $@.","msg : String","msg : String"
"msg","msg : Object","msg","Call to org.apache.logging.log4j.Logger.warn with untrusted data from $@.","msg : Object","msg : Object"
"msg","msg : Object","msg","Call to org.apache.logging.log4j.Logger.warn with untrusted data from $@.","msg : Object","msg : Object"
"msg","msg : Http2StreamFrame","msg","Call to org.apache.logging.log4j.Logger.warn with untrusted data from $@.","msg : Http2StreamFrame","msg : Http2StreamFrame"
"msg","msg : Object","msg","Call to org.apache.logging.log4j.Logger.warn with untrusted data from $@.","msg : Object","msg : Object"
"msg","msg : Object","msg","Call to org.apache.logging.log4j.Logger.warn with untrusted data from $@.","msg : Object","msg : Object"
"msg","msg : Object","msg","Call to org.apache.logging.log4j.Logger.warn with untrusted data from $@.","msg : Object","msg : Object"
